gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4153255318	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603141	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae				FAMILY	Paramyxoviridae	Paramyxoviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				3776		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:23:09.774Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153255317	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603138	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae				FAMILY	Papillomaviridae	Papillomaviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				6232		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153254306	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603143	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae				FAMILY	Parvoviridae	Parvoviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				6233		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153254238	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	OM645181	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus			GENUS	Orthonairovirus	Cencurut virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.28	103.83							2012-09-15	15	9	2012	10336774		MATERIAL_SAMPLE							CC_BY_4_0		Duke-NUS Medical School			2025-03-15T12:22:37.487Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153252324	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603145	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae				FAMILY	Picornaviridae	Picornaviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				4517		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.837Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153252323	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603134	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae				FAMILY	Flaviviridae	Flaviviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				6218		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.828Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153251336	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603142	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae				FAMILY	Paramyxoviridae	Paramyxoviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				3776		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153251335	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603139	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae				FAMILY	Paramyxoviridae	Paramyxoviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				3776		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153250315	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603148	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Rotavirus			GENUS	Rotavirus	Rotavirus sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				9860749		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.837Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153250314	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603140	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae				FAMILY	Paramyxoviridae	Paramyxoviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				3776		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.837Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153250313	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603137	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orthoreovirus			GENUS	Orthoreovirus	Orthoreovirus sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				10602202		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:23:09.773Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153249326	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603144	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae				FAMILY	Parvoviridae	Parvoviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				6233		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153249325	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603133	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae				FAMILY	Adenoviridae	Adenoviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				6231		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.827Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153248313	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603146	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae				FAMILY	Picornaviridae	Picornaviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				4517		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:23:09.774Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153248312	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603135	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae				FAMILY	Flaviviridae	Flaviviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				6218		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.821Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153248269	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603147	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae				FAMILY	Polyomaviridae	Polyomaviridae sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				1935		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4153248268	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MK603136	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orthoreovirus			GENUS	Orthoreovirus	Orthoreovirus sp.		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	1.34	103.78							2013/2014				10602202		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:01.836Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
4076130546	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/153132359	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus			GENUS	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus 2		SG		Central	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	1.299486	103.899771							2023-03-31T08:48	31	3	2023	10312030		HUMAN_OBSERVATION	iNaturalist	Observations	153132359		Mike Hooper	2023-04-02T03:14:42	CC_BY_NC_4_0	Mike Hooper	Mike Hooper			2025-03-07T19:06:42.685Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_ID_IGNORED
3992658196	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	ON804799	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:41.673Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992657684	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW802637	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:31.136Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992656738	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW802631	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:23:11.963Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992656107	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	ON804795	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:23:13.036Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992655634	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW802633	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:31.079Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992655195	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	ON804797	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:41.670Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992654721	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW802635	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:31.157Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992654207	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	ON804796	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:41.688Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992653707	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW802634	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:31.029Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992653268	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	ON804798	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:41.671Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992652767	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MW802636	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:23:11.963Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3992652193	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	ON804794	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Japanese encephalitis virus		SPECIES	Japanese encephalitis virus	Japanese encephalitis virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													10181998	10181998	MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:41.673Z		CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3990180737	393b8c26-e4e0-4dd0-a218-93fc074ebf4e	MZ556109	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae				FAMILY	Partitiviridae	Nyamuk partiti-like virus		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2019			2019	6234		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:22:34.243Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3987071259	d8cd16ba-bb74-4420-821e-083f2bac17c2	EU081272	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Orthoflavivirus			GENUS	Orthoflavivirus	dengue virus type 1		SG			PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230									2005			2005	12189681		MATERIAL_SAMPLE							CC_BY_4_0					2025-03-15T12:55:36.278Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_HIGHERRANK;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
